index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",Die,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Die,de
1,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",Welt,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Welt,de
2,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",der,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,der,de
3,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",Wissenschaft,12,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Wissenschaft,de
4,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",und,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,und,de
5,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",Technik,7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Technik,de
6,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",ist,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,ist,de
7,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",ein,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,ein,de
8,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",faszinierendes,14,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,faszinierendes,de
9,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",Feld,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Feld,de
10,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",das,3,0.0,0.0,0.71,1.0,0.0,0.0,0.29,0.0,das,de
11,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",von,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,von,de
12,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",Experten,8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Experten,de
13,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",aus,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,aus,de
14,de,TechnologyAndScience,de_TechnologyAndScience,0,"Die Welt der Wissenschaft und Technik ist ein faszinierendes Feld, das von Experten aus verschiedenen Ländern und Kulturen vorangetrieben wird.",verschiedenen,13,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,verschiedenen,de
